#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
392;RMC;12/26/2016 9:41:59 PM;49.2096613333333;16.5982468;;;;
393;;;;;;;;NMEA message parser not found for RMB.
394;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
395;GSA;;;;;;;
396;GSV;;;;;;;
397;GSV;;;;;;;
398;;;;;;;;NMEA message parser not found for GRM.
399;RMC;12/26/2016 9:42:00 PM;49.2096605;16.5982368166667;;;;
400;;;;;;;;NMEA message parser not found for RMB.
401;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
402;GSA;;;;;;;
403;GSV;;;;;;;
404;GSV;;;;;;;
405;;;;;;;;NMEA message parser not found for GRM.
406;RMC;12/26/2016 9:42:01 PM;49.2096596833333;16.5982268333333;;;;
407;;;;;;;;NMEA message parser not found for RMB.
408;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
409;GSA;;;;;;;
410;GSV;;;;;;;
411;GSV;;;;;;;
412;;;;;;;;NMEA message parser not found for GRM.
413;RMC;12/26/2016 9:42:02 PM;49.2096588666667;16.5982168666667;;;;
414;;;;;;;;NMEA message parser not found for RMB.
415;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
416;GSA;;;;;;;
417;GSV;;;;;;;
418;GSV;;;;;;;
419;;;;;;;;NMEA message parser not found for GRM.
420;RMC;12/26/2016 9:42:03 PM;49.20965805;16.5982068833333;;;;
421;;;;;;;;NMEA message parser not found for RMB.
422;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
423;GSA;;;;;;;
424;GSV;;;;;;;
425;GSV;;;;;;;
426;;;;;;;;NMEA message parser not found for GRM.
427;RMC;12/26/2016 9:42:04 PM;49.2096572333333;16.5981969166667;;;;
428;;;;;;;;NMEA message parser not found for RMB.
429;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
430;GSA;;;;;;;
431;GSV;;;;;;;
432;GSV;;;;;;;
433;;;;;;;;NMEA message parser not found for GRM.
434;RMC;12/26/2016 9:42:05 PM;49.2096564166667;16.5981869333333;;;;
435;;;;;;;;NMEA message parser not found for RMB.
436;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
437;GSA;;;;;;;
438;GSV;;;;;;;
439;GSV;;;;;;;
440;;;;;;;;NMEA message parser not found for GRM.
441;RMC;12/26/2016 9:42:06 PM;49.2096556;16.5981769666667;;;;
442;;;;;;;;NMEA message parser not found for RMB.
443;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
444;GSA;;;;;;;
445;GSV;;;;;;;
446;GSV;;;;;;;
447;;;;;;;;NMEA message parser not found for GRM.
448;RMC;12/26/2016 9:42:07 PM;49.2096547666667;16.5981669833333;;;;
449;;;;;;;;NMEA message parser not found for RMB.
450;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
451;GSA;;;;;;;
452;GSV;;;;;;;
453;GSV;;;;;;;
454;;;;;;;;NMEA message parser not found for GRM.
455;RMC;12/26/2016 9:42:08 PM;49.20965395;16.598157;;;;
456;;;;;;;;NMEA message parser not found for RMB.
457;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
458;GSA;;;;;;;
459;GSV;;;;;;;
460;GSV;;;;;;;
461;;;;;;;;NMEA message parser not found for GRM.
462;RMC;12/26/2016 9:42:09 PM;49.2096531333333;16.5981470333333;;;;
463;;;;;;;;NMEA message parser not found for RMB.
464;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
465;GSA;;;;;;;
466;GSV;;;;;;;
467;GSV;;;;;;;
468;;;;;;;;NMEA message parser not found for GRM.
469;RMC;12/26/2016 9:42:10 PM;49.2096523166667;16.59813705;;;;
470;;;;;;;;NMEA message parser not found for RMB.
471;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
472;GSA;;;;;;;
473;GSV;;;;;;;
474;GSV;;;;;;;
475;;;;;;;;NMEA message parser not found for GRM.
476;RMC;12/26/2016 9:42:11 PM;49.2096515;16.5981270833333;;;;
477;;;;;;;;NMEA message parser not found for RMB.
478;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
479;GSA;;;;;;;
480;GSV;;;;;;;
481;GSV;;;;;;;
482;;;;;;;;NMEA message parser not found for GRM.
483;RMC;12/26/2016 9:42:12 PM;49.2096540666667;16.5981185666667;;;;
484;;;;;;;;NMEA message parser not found for RMB.
485;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
486;GSA;;;;;;;
487;GSV;;;;;;;
488;GSV;;;;;;;
489;;;;;;;;NMEA message parser not found for GRM.
490;RMC;12/26/2016 9:42:13 PM;49.2096619;16.5981123333333;;;;
491;;;;;;;;NMEA message parser not found for RMB.
492;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
493;GSA;;;;;;;
494;GSV;;;;;;;
495;GSV;;;;;;;
496;;;;;;;;NMEA message parser not found for GRM.
497;RMC;12/26/2016 9:42:14 PM;49.2096697333333;16.5981061;;;;
498;;;;;;;;NMEA message parser not found for RMB.
499;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
500;GSA;;;;;;;
501;GSV;;;;;;;
502;GSV;;;;;;;
503;;;;;;;;NMEA message parser not found for GRM.
504;RMC;12/26/2016 9:42:15 PM;49.2096775666667;16.5980998666667;;;;
505;;;;;;;;NMEA message parser not found for RMB.
506;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
507;GSA;;;;;;;
508;GSV;;;;;;;
509;GSV;;;;;;;
510;;;;;;;;NMEA message parser not found for GRM.
511;RMC;12/26/2016 9:42:16 PM;49.2096854;16.5980936333333;;;;
512;;;;;;;;NMEA message parser not found for RMB.
513;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
514;GSA;;;;;;;
515;GSV;;;;;;;
516;GSV;;;;;;;
517;;;;;;;;NMEA message parser not found for GRM.
518;RMC;12/26/2016 9:42:17 PM;49.2096932333333;16.5980874;;;;
519;;;;;;;;NMEA message parser not found for RMB.
520;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
521;GSA;;;;;;;
522;GSV;;;;;;;
523;GSV;;;;;;;
524;;;;;;;;NMEA message parser not found for GRM.
525;RMC;12/26/2016 9:42:18 PM;49.2097010666667;16.5980811833333;;;;
526;;;;;;;;NMEA message parser not found for RMB.
527;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
528;GSA;;;;;;;
529;GSV;;;;;;;
530;GSV;;;;;;;
531;;;;;;;;NMEA message parser not found for GRM.
532;RMC;12/26/2016 9:42:19 PM;49.2097089;16.59807495;;;;
533;;;;;;;;NMEA message parser not found for RMB.
534;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
535;GSA;;;;;;;
536;GSV;;;;;;;
537;GSV;;;;;;;
538;;;;;;;;NMEA message parser not found for GRM.
539;RMC;12/26/2016 9:42:20 PM;49.2097167333333;16.5980687166667;;;;
540;;;;;;;;NMEA message parser not found for RMB.
541;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
542;GSA;;;;;;;
543;GSV;;;;;;;
544;GSV;;;;;;;
545;;;;;;;;NMEA message parser not found for GRM.
546;RMC;12/26/2016 9:42:21 PM;49.2097245666667;16.5980624833333;;;;
547;;;;;;;;NMEA message parser not found for RMB.
548;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
549;GSA;;;;;;;
550;GSV;;;;;;;
551;GSV;;;;;;;
552;;;;;;;;NMEA message parser not found for GRM.
553;RMC;12/26/2016 9:42:22 PM;49.2097324;16.59805625;;;;
554;;;;;;;;NMEA message parser not found for RMB.
555;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
556;GSA;;;;;;;
557;GSV;;;;;;;
558;GSV;;;;;;;
559;;;;;;;;NMEA message parser not found for GRM.
560;RMC;12/26/2016 9:42:23 PM;49.2097403833333;16.59805025;;;;
561;;;;;;;;NMEA message parser not found for RMB.
562;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
563;GSA;;;;;;;
564;GSV;;;;;;;
565;GSV;;;;;;;
566;;;;;;;;NMEA message parser not found for GRM.
567;RMC;12/26/2016 9:42:24 PM;49.2097491833333;16.5980454666667;;;;
568;;;;;;;;NMEA message parser not found for RMB.
569;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
570;GSA;;;;;;;
571;GSV;;;;;;;
572;GSV;;;;;;;
573;;;;;;;;NMEA message parser not found for GRM.
574;RMC;12/26/2016 9:42:25 PM;49.2097579666667;16.5980406833333;;;;
575;;;;;;;;NMEA message parser not found for RMB.
576;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
577;GSA;;;;;;;
578;GSV;;;;;;;
579;GSV;;;;;;;
580;;;;;;;;NMEA message parser not found for GRM.
581;RMC;12/26/2016 9:42:26 PM;49.2097667666667;16.5980358833333;;;;
582;;;;;;;;NMEA message parser not found for RMB.
583;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
584;GSA;;;;;;;
585;GSV;;;;;;;
586;GSV;;;;;;;
587;;;;;;;;NMEA message parser not found for GRM.
588;RMC;12/26/2016 9:42:27 PM;49.20977555;16.5980311;;;;
589;;;;;;;;NMEA message parser not found for RMB.
590;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
591;GSA;;;;;;;
592;GSV;;;;;;;
593;GSV;;;;;;;
594;;;;;;;;NMEA message parser not found for GRM.
595;RMC;12/26/2016 9:42:28 PM;49.20978435;16.5980263166667;;;;
